Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
155;Licuala_insignis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_malybo;Arecoideae;Astrocaryum;Cocoseae
156;Licuala_khoonmengii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_mexicanum;Arecoideae;Astrocaryum;Cocoseae
157;Licuala_bintulensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_minus;Arecoideae;Astrocaryum;Cocoseae
158;Licuala_lambii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_murumuru;Arecoideae;Astrocaryum;Cocoseae
159;Licuala_bifida;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_paramaca;Arecoideae;Astrocaryum;Cocoseae
160;Licuala_robinsoniana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_perangustatum;Arecoideae;Astrocaryum;Cocoseae
161;Licuala_longispadix;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_rodriguesii;Arecoideae;Astrocaryum;Cocoseae
162;Licuala_pahangensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_sciophilum;Arecoideae;Astrocaryum;Cocoseae
163;Licuala_bachmaensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_scopatum;Arecoideae;Astrocaryum;Cocoseae
164;Licuala_fractiflexa;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_sociale;Arecoideae;Astrocaryum;Cocoseae
165;Licuala_cameronensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_standleyanum;Arecoideae;Astrocaryum;Cocoseae
166;Licuala_bracteata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_triandrum;Arecoideae;Astrocaryum;Cocoseae
167;Licuala_fordiana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_tucuma;Arecoideae;Astrocaryum;Cocoseae
168;Licuala_ridleyana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_ulei;Arecoideae;Astrocaryum;Cocoseae
169;Licuala_cattienensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_urostachys;Arecoideae;Astrocaryum;Cocoseae
170;Licuala_bidoupensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_vulgare;Arecoideae;Astrocaryum;Cocoseae
