"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"66","MDG",66,-19.37352133,46.70599248,0,4.88591184330391,2.06053200849435,5297.97808526158,7926.06108474576,46199.351580301,83.62,225.047347497499,2012.11100387695,94.3765860173139,1485.68737534821,17.111,0.208859859,"Africa",1.34185,0.96055
"67","MLI",67,17.35036933,-3.524336718,1,14.5062366160245,0.491545199231888,191812.070895295,204802.049264069,1307191.54462908,55.25,288.745646049441,4744.27650295199,133.103222793088,310.327877317456,2.83576,0.007066582,"Africa",1.05145,1.12435
"68","MLW",68,-13.21510424,34.30698504,1,10.9233852181565,0.921751259836112,86600.3999999999,18364.9905014465,139355.514145875,17.22,215.465178529129,2257.28599775341,102.499907424227,1109.12143810126,17.6757,0.030076454,"Africa",1.2196,1.1182
"69","MLY",69,4.028255407,102.1784344,0,5,2.08583824735342,58459.8697152486,43896.8074853801,361543.737150388,43.66,258.664968339659,587.996085468191,36.4057527960273,2531.35050250442,25.4881,0.806114983,"Asia",1.3234,1.0428
"70","MOL",70,-1.420611904,127.990452,0,5.25648519319014,2.84502541312558,5980.95640275233,83.0833487511568,6048.84133614827,2.02,250.490376395676,411.171683193676,28.5134523331142,2384.66037735849,23.4708,0.517783719,"Asia",1.27385,1.05185
"71","MOZ",71,-17.26019707,35.55225318,1,10.6356597194411,0.567463915809104,85972.5890372094,18442.2067208904,131713.896786347,17.92,235.332848031401,2330.35013921843,94.8149447608494,1019.63658917721,14.2031,0.013883503,"Africa",1.30005,1.10335
"72","MXC",72,19.13109566,-98.58581279,0,1.71907001087358,1.8327758587627,5636.35231300245,353346.418212766,1067024.63399903,98.58,173.113508114143,1812.84606840347,87.8572895061686,964.901574130567,21.1099,0.202325543,"Americas",1.1917,1.0653
"73","MXE",73,25.85227543,-103.0607542,0,2.02034986881096,2.84502541312558,6974.84972106915,317389.645419809,1103765.77582367,98.23,187.507777354559,4580.86302519893,80.5937933804489,527.381987407077,22.3813,0.106356352,"Americas",1.2458,1.10775
"74","MXG",74,19.37738436,-96.405429,0,3.5,1.90869457533992,7309.63762104665,333061.10275,1039691.91691048,98.44,240.550287534029,2320.31629542697,72.8889956299249,1735.51133661733,25.8423,0.164330322,"Americas",1.2532,1.14565
"75","MXN",75,28.4912303,-111.3789827,0,2.17370651192842,2.99686284628002,5014.48527530503,357971.556135383,1262693.3101638,99.37,216.371091931566,5189.98149136266,92.1094883290518,361.357799778674,20.7135,0.129332802,"Americas",1.397,1.095
"76","MXS",76,18.84795312,-100.7023886,0,3.40342466501721,1.93400081419899,6011.17663461712,253216.439620704,442984.582439366,98.48,211.869483912706,1674.08964422978,103.81403145266,1131.95890191635,20.8141,0.341436212,"Americas",1.287,1.16905
"77","MXT",77,18.50798756,-90.55872649,0,3.5,1.78216338104456,7191.38451115513,245778.247370995,87957.8420967131,98.02,248.972770171131,1688.94247164828,65.7223510009081,1531.89728995426,16.8255,0.64407178,"Americas",1.375,1.156
"78","MYA",78,21.14042303,96.50882808,0,7.32106285001026,1.8327758587627,54451.1956375861,221752.508312448,1132915.62422038,83.76,232.974652159594,2893.9492736733,93.7208284026903,2177.43721943909,27.0695,0.541254032,"Asia",1.273,1.1397
"79","NAT",79,-28.7085677,30.72508497,1,6.94678648908834,0.238482810641168,95781.5604186219,18965.1437821612,233589.389857331,13.42,175.858946921053,3223.57857552005,60.8022221447798,864.020134827085,17.8326,0.131242318,"Africa",1.3356,1.1146
"80","NCB",80,7.507217236,93.60165739,0,2.6294154716638,2.06053200849435,446.800770713255,0,446.800770713255,0,272.357400375123,456.927844063799,46.635571696327,3003.77020340847,14.2754,0.025652842,"Asia",1.26315,1.0391
"81","NEP",81,28.25300785,83.93851707,0,3.87298334620742,2.33890063594414,255551.960480392,86135.7292410714,1480168.9853959,43.14,126.02343700505,5826.20951412789,103.030442475783,1657.8968080522,33.7709,0.341417927,"Asia",1.275,1.171
"82","NGA",82,9.593635674,8.105324864,1,10.8505733773607,1.50379475359477,71114.4502934975,79418.4724599542,144229.57232736,55.63,265.48513406189,2083.16746785447,102.400383636373,1161.50708344038,13.0367,0.108073568,"Africa",1.27945,1.12675
"83","NGR",83,17.42632282,9.397657535,1,14.1861241350476,0.76991382668168,77059.7277596018,273036.907568438,2758777.88255502,57.48,274.744693540598,5175.95532167127,173.873056001853,134.442175800472,2.12057,9.8532e-05,"Africa",1.2435,1.11925
"84","NIC",84,12.83970931,-85.03469962,0,5,2.33890063594414,7161.33917104621,256524.760238095,137415.753802808,98.07,253.561282360387,673.011725701824,66.7255194197,2220.5697899491,19.8538,0.448448886,"Americas",1.341,1.171
"85","NSW",85,-32.18030973,147.0187766,0,1.63295074796796,3.14870027943445,3235.80736169448,127553.898106061,164326.045895946,99.53,175.795278407168,5452.04576200936,21.226480809975,534.004281202058,22.8827,0.12284044,"Pacific",1.37295,0.92855
"86","NTA",86,-19.41428342,133.3652138,0,2.18672414788656,3.19931275715259,1762.39865186041,-28.4746031746031,1640,-8.72,253.693472209698,4530.53954791363,88.7792007243827,566.317170113189,17.4433,0.001827081,"Pacific",1.3284,1.0816
"87","NWC",87,-21.29461419,165.6718498,0,3.77428021159708,3.19931275715259,304.571117957602,0,304.571117957602,0,222.446179203112,2056.61032332774,46.5886290229637,1682.05562406974,22.3575,0.33668581,"Pacific",1.2805,0.8661
"88","NWG",88,-5.345954432,140.8323421,0,5.46825270922065,2.94625036856187,8666.7,1787.1459567705,9732.6337705448,52.4,233.052607736673,419.942123676812,26.8683085565275,3193.16233227453,22.0357,0.870742582,"Asia",1.2954,1.0322
"89","PAK",89,29.35662305,68.78919169,0,5.99824685967549,2.54135054681672,96677.9725926017,188624.779251701,832309.45857582,92.61,229.350620704193,7176.29514789662,96.4306676447625,285.382628986697,33.9932,0.005876648,"Asia",1.2572,1.15285
"90","PAN",90,8.50544318,-80.10906884,0,4.95953489891069,2.41481935252136,8983.51405872151,183612.494352047,174271.161241705,97.47,245.811732887662,418.425974605051,54.7313731394526,2626.43406870037,15.6068,0.617554343,"Americas",1.29665,1.20145
